content,username,Sentiment
"@lachimolamel @bertanyarl Budgetnya kudu gede. *sorry, kita ambil kasus film rafathar. Kan budget nya gede banget, tapi efek cgi nya msih keliatan bngt alias msih blm memadai

Dri pda ngancurin ekspetasi ke webtoon itu, lebih baik ga dulu.",slythryoongs,positive
@uresucck Tapi film dengan cgi paling bagus tetep film RAFATHAR,firzadwp,positive
"@dspr_wtf film rafathar...,saking jeleknya",saltlander,negative
"@moviemenfes lu nonton film rafathar deh, terus balik lg kesini kasih tau depan muka gue tuh film bagus apa jelek",oactober,positive
"""Cara Gue Dapet 100 Juta per bulan di umur 19 tahun""

Gua lebih terinspirasi sama kisahnya #RAFATHAR, baru lahir udh jadi penerus sultan andara. Umur batita bisa punya film dgn biaya produksi 18 MILYAR

Apa itu sukses di umur 19? Hihhh ketuaan baru kaya di umur segitu chuakzzz😏.",HaffzullQ,positive
"Kirain film rafathar posternya aja yang jelek, abis gue nonton ternyata filmnya juga gaada bagusnya",kuppuroi_,positive
"gundala gak banget, serupa film rafathar cuma lebih serius aja garap nya",Ariiiiiii___,positive
"HARI 29: Film terburuk sepanjang masa.

Ini versi gua ya. Banyak juga kok yang suka cuma gua sih ngga. Yap film rafathar sih menurut gua ya cuma orang yang punya duit banyak pengen bikin film. Dah gitu aja. https://t.co/au7locsMm6",lazraziv,negative
"@hrdbacot Beli saham Elon Musk.Jd member 9 naga, lalu perbaikin Indonesia. Kepretin pake duit yg bgun usaha tp ngerusak lingkungan.
Bikin film saingan Rafathar.
Lunasin utg jgn lupa. Lgsg renov rumh juga. Sekolahin anak di skul yg bagus dong.

Pertinyiinnyi, krj apaan gaji ga terhingga?",amsalfoje,positive
@alfianarp @kaoskamukeren @thedufresne @zenrs Dia udah bilang segmen keluarga. Berarti kan film Rafathar ada segmennya juga ya? Bukan tanpa segmen. 🤣🤣🤣🤣,SiliwangiBadega,positive
"@kaoskamukeren @thedufresne @zenrs Gimana? Bingung saya dengan penjelasan anda? 
Tidak setuju film nussa disebut segmented terus lari ke kenyataan? 

Kalau film Rafathar anda sebut tidak segmented, anda bahkan mengetik segmen 'satu keluarga' untuk menjelaskan segmen pasar😁😁😁",SiliwangiBadega,positive
"@SiliwangiBadega @thedufresne @zenrs kalau yang di maksud adalah segmentasi pasar : film rafathar di tujukan untuk 1 keluarga.

kalau yang anda maksud itu soal  *genre*,  film itu masuk : drama, komedi, action.",katakaosDotID,negative
"@kaoskamukeren @thedufresne @zenrs Serius? Rafathar? 
Bukannya secara segmen itu film anak2? Buat orang yang pengen nonton adegan cinta2an apa ada di film itu?",SiliwangiBadega,positive
"@SiliwangiBadega @thedufresne @zenrs Film yang nggak segmented ? Banyak, misal ( Rafathar 2017 ) 
- di tujukan ke semua golongan tanpa membagi-bagi.",katakaosDotID,negative
"Beda cerita dengan film Rafathar, film ini kurang menarik atensi dari masyarakat, akhirnya rumah produksi pun menjadi rugi. Hal inilah yang membuat mengapa beberapa film tidak berani memakai efek yang mahal, mereka tidak mau mengalami kerugian yang besar.",dmstra_,positive
"Contoh film Indonesia yang menggunakan efek CGI adalah Rafathar, Gundala, dan Comic 8 (Casino Kings), penggunaan efek CGI yang menelan biaya mahal lumayan beresiko. Comic 8 bisa dibilang adalah film di Indonesia dengan efek CGI yang paling bagus dan sukses menarik penonton.",dmstra_,positive
@mipupublu @tanyainrl adaa tuu film fantasy sci-fi bagus bgt dari indo judulnya rafathar 😉😉,ngengtod,positive
"Dulu Vino G Bastian, terus ke Reza Rahardian, sekarang Angga Yunanda. 

Dunia Film Indonesia kalo udah ketemu 1 aktor pasti itu itu terus aja aktornya sampe penonton bosen, baru ganti.

Cuman emang mau sekeren apa jadi aktor di Indo masih tajiran Rafathar..",GregoAndhika,positive
"↪ Film 
• Di Sini Ada Setan
• Dealova
• Rafathar
• The Secret: Suster Ngesot Urban Legend
• Roh Fasik",vthvkim,positive
@tanyainrl jangan ntar kecewa film rafathar yg katanya habis 15 M buat cgi-nya aja masih kek film naga-nagaan indosiar,juhyunvisuaI,negative
"""film mama kamu bagus juga ya gempi""

-rafathar.",Wildanwiratmoko,positive
"@Arie_Kriting Alur biasa aja,
CGI Jelek,
Pemainnya kaku,
.
.
.
.
.
.
.
Tapi itu film Rafathar,
Kalo Pelukis Hantu mah bagus",ginjallganjil,positive
"Sering Disebut Produk Gagal, Raffi Ahmad Akui 'RAFATHAR' Film yang Jelek https://t.co/0TJQXGjPve",aidaadel038,negative
"Sering Disebut Produk Gagal, Raffi Ahmad Akui 'RAFATHAR' Film yang Jelek. https://t.co/Xobx5VxoH1",KapanLagicom,negative
@angewwie Film Rafathar bagus hyunk,dinodinotaurus,positive
Rafathar film superhero Indonesia terbaik,AnjasmoroWibowo,positive
film rafathar kalo ada label disney pasti dinilai bagus,thiirwall,positive
Team dilan or Nathan ?? Iqbaal bagus sih Meranin dilan tapi aura Nathan itu yg diperankan Jefri nichol emang buat melting 🔥🔥 kalau ada pilihan Rafathar ya milih rafathar yg lucu aja atau Lisa yg cantik 😆 Uda kayak Bu Siti Fauziah aja deh gue ya di film tilik yg jd Bu tedjo https://t.co/vV8GsVUf0j,ZoelHelmiLubis1,positive
"Ga percaya😶 'aa #rafathar dijadiin film animasi di #antv. 
Sedangkan reality show #RaffiAhmad yg tayang selama 6 thn sungguh sgt membosankan di beberapa tv nasional yg menceritakan ttg keseharian beliau dan keluarga (sampe ditel).",essencyaa,negative
"@antok_0901 @WatchmenID Udah anggap aja Ashiap Man ga pernah ada. Biar citra beliau tetap baik di matamu. Hahaha.

Aku juga gitu sih. Anggap aja tuh film atau lainnya seperti Rafathar atau semacamnya ga pernah ada. Haha",muhz_za,positive
"gila ini ide fresh banget di 2020
ganyangka akutu ini film wajib sineas setelah rafathar",iyysakk,positive
@WatchmenID Semoga lebih baik dari film rafathar,Ziiifauzi,positive
"@moviemnfs Parah, film nya banyak masuk nominasi padahal. Gimana kalo Film Rafathar aja, keren loh biaya nya mahal banget ini film.",YulioFebriansah,positive
"@fravanellli17 Dear Mas Rafathar, kamu terlahir dengan sendok emas. Suatu hari kamu pasti bisa bikin film yang bagus. Semangat!",ghinaaafau,positive
"@ryansyahhhhh @derychahyanto @yudhoarerihan @tergengster tp sbnrnya rafathar jg udh bisa dibilang sukses, di umur segitu udh punya film sendiri (walaupun hasil buatan bapaknya, bkn kerja keras sendiri)",popsictle,positive
"2. Paterson (2016)

Mengikuti keseharian supir bus mmg tidak semenarik mengikuti keseharian Rafathar. Tapi tolong beri kesempatan Paterson membacakan puisi ttg korek api yg terdengar unik, dekat, nan syahdu. Bukan film utk semua orang, namun jika km suka puisi, film ini milikmu. https://t.co/EqqzNRg74o",Mories91,positive
"Saya merekomendasikan kalian untuk menonton sebuah film tahun 2017 berjudul ""Rafathar""

Best CGI 2017.

Watch it entirely and you will know why.
Thanks.",_Koprol_,positive
"@makmummasjid kata fens nya keluarga RANS, film rafathar juga bagus bang. di elu nya yg salah bang.",AndriAndriians,positive
"@hasyakyla Rafathar, anak kecil prtama kali maen film lgsg gagal, sediihh bat :((",GodzilaTampan,negative
@ngurahsaka Saya nntn rafathar dan saya setuju film nya jelek,panconggggg,negative
Trans7 ada film Rafathar. Seru banget,ibrhmrosid,positive
"@reyanbewinda @jokoanwar tttt...tapi penyedia torrent juga orang luar, Mas. 

Mungkin harus spesifik luarnya mana. Atau, ya emang filmnya jelek. 

Sekalipun Indonesia bersih dari penonton bajakan, film indonesia Rafathar ya gak bisa dibandingin sama film luar Avengers, misalnya.",bintangpputra,negative
"@Pak_RT__ @akubukankamoe @Egisyhd @atikahafani @tiaaavv @lowkey_wicked @Asknonym Coba review 🤣 pantesan ni temen"" kalo nntn film suka sarkas bilang ""bagusan juga rafathar 😃""",nassibasian,positive
"sama di XXI Aeon sm joddy, lg milih mau nonton film apa trs joddy blg ""jgn rafathar the movie tp, pasti jelek"" trs BALIK BADAN eh Nagita Slavina dibelakang kita bedua🥲 HAHAHAHAHAHAHAHAAHHA gatau dah dia denger apa kaga tp YAGMN YA",inikeyaya,negative
"Gua ni suka heran sama trans tv, dr dulu program nya kalo ga nayangin kehidupan nya rafathar, ya kehidupan nya si betran, kyk gaada yg lebih seru aja acaranya jirrr, udh gt film box office nya jg skrg udh yg jadul2 doang, yg robot atoga alien, hadeh... sekalinya drama malah twotm",pinkeuspecs,positive
/mvs/ film rafathar bagus ngga? rate dong yang sudah nonton,moviemenfes,positive
"@moviemenfes grave of the fireflies,children of heaven,manchester bye the sea,hachiko,elephant man,(me,earl,and a dying girl),the lake house,dll...,tapi yg paling bikin nangis adalah film rafathar...,nangis saking jeleknya",saltlander,negative
"@ZayFckingSynder @moviemenfes Rafathar bknnya emg pada dasarnya ""jelek""? Market film cgi di indonesia aku rasa cukup besar deh, film superhero dan action action luar gitu banyak kan di Indo? Indonesia msh banyak kalah di konsep dan penggarapannya, itu yg bikin kt msh blum bisa bikin",malfoystarks,negative
"@moviemenfes market coygg, buat apa bikin film konsep bagus tapi galaku?  mana ada PH yang mau jadiin filmnya. bikin film itu ratusan juta sampe milyaran. kalau galaku di market ya rugi besar. contoh film rafathar, out of the box, cgi termahal.hasilnya ampas dan rugi milyaran",urdeepsadness,positive
"Wah mas Atta makin sukses Uda main layar 4096x2731p 😍😍😍.
Selamat ya semoga larisnya kayak film rafathar 🤣",rangrangyo,positive
@yulindahafni Bun film Rafathar bukan 250rb..tapi 450rb an hampir 500rb. utk produksi film pertama RA picture.. Rafathar Alhamdulillah lumayan bagus..😁😊,septi_nu_ria,positive
"@CineManiaX @darkgreyiscool @CenayangFilm Engga gan, film 3: Alif, Lam, Mim yang rilis 2015 bagus. Bahkan masuk nominasi FFI. Tapi ya itu, film terakhir dia yang bagus selanjutnya kita dapet film Warkop gajelas, Comic 8, Film Rafathar 😂😂 sama film Suzzana tapi ga horror.",coldploes,positive
@djaycoholyc Brarti film rafathar bagus?,wittakus,positive
@moviemenfess BAGUS BANGETTTTT. POKONYA FILM RAFATHAR MAH LEWAT!,_sleeplatte,positive
@kamusihhah Oke ganti. Film RAFATHAR yang efek CGInya keren banget.,Ramdhanslhn,positive
@_yusiwantawsen @askmenfess awomwowkwowkwk cginya bagus kaya film rafathar,rizkiXahmad,positive
@Craftedpress_ Nar ... film Rafathar katanya bagus wkwkwk,_ketanitem,positive
"berasa dikejar durasi. tapi tetep oke kok 😍 (takut spoiler). cgi jangan dibandingin ama film luar, emang masih keliatan kasar tapi jauh lebih bagus dibandingin ama rafathar. dan berhubung ini kan origin story, beda ama versi komiknya dulu. jadi emang dikemas biar kekinian",letsgodion,positive
"@CenayangFilm Filmnya biasa aja, jlk malah. Ceritanya biasa, alur ketebak, aktor aktris pada kaku, anak kecilnya aneh, cgi bikin sakit mata.Yg itu buat film rafathar. Kalo buat #Gundala sih keren parah.",haloabayy,positive
"@jokoanwar Filmnya biasa aja, jlk malah. Ceritanya biasa, alur ketebak, aktor aktris pada kaku, anak kecilnya aneh, cgi bikin sakit mata.

Yg itu buat film rafathar.

Kalo buat #gundala @jokoanwar sih keren parah.
Bang @jokoanwar saya boleh minta lagu love in space nya tia hasibuan gak btw?",haloabayy,positive
"👦 Bro, elu udah nonton #Gundala ? Rate pribadi gimana nih?
👨 Bagus sih, 8,9/10 dan lebih-lebih dari film Indonesia yang terakhir gue tonton.
👦 Emang terakhir nonton apa?
👨 Nonton Rafathar :(

#GopayPayDay",tuyulmaestro,positive
"Filmnya biasa aja, jlk malah. Ceritanya biasa, alur ketebak, aktor aktris pada kaku, anak kecilnya aneh, cgi bikin sakit mata.

Yg itu buat film rafathar.

Kalo buat #gundala @jokoanwar sih keren parah.
Bang @jokoanwar saya boleh minta lagu love in space nya tia hasibuan gak btw? https://t.co/BVqVM28NFq",adhfhm,positive
"Sebanyak apapun budget film superhero, siapapun pemerannya, tetep aja film superhero terbaik rafathar.",Fahmfth,positive
"raffi ahmad bikin film rafathar bukan buat cari duit tapi buat kenang2an doang, mantap",cashmisery,positive
"Seru - seruan bareng Rumah Seleb yuk! Sore ini Papa Raffi, Mama Gigi dan Rafathar kedatangan Cast dari film Do Re Mi &amp; You dan ada Adhiyat . Mama Gigi juga punya resep baru buat buka puasa dibantu oleh Chef Edwin lau . Sore Ini, Pukul 15.00 WIB hanya di MNCTV.
#RumahSelebMNCTV https://t.co/KMeb4I8G9y",RumahSelebMNCTV,positive
@nmrovitasari Bagusan film Rafathar:))),beloudly,positive
@FiersaBesari film rafathar keren,sekadarberujar,positive
ada film rafathar di RCTI. dan ternyata kualitas CGI nya lebih bagus dibanding film indonesia lain 😯,marscof,positive
"Padahal mereka sudah kerja keras dan berdoa. Lihat rafathar. Tanpa dia kerja keras &amp; doa, sudah tajir melintir. Jadi bintang film. Jadi, kunci kesuksesan adalah?",Glo_Excel,positive
@InfoTwitwor @marloernesto Semoga jumlah penontonnya sukses ya kaya film rafathar,Madaizon,positive
@WatchmenID Kasian raffi ahmad. Padahal menurut aku dia bikin begini karna udah mau pensiun dari artis kan. Semoga aja buat jadi bahan evaluasi raffi bikin film bagus kedepannya. Aku fansnya nagita rafathar tapi kok sedih ya liat post ini. Semoga raffi liat buat bahan pembelajaran😢,bnzrns,positive
"@zaraJKT48 miracle in cell no 7
irreplaceable you
my mom
one day
ps : i love you
windstruck
taare zameen par
the best of me
rafathar (aku nangis nonton film ini,saking jeleknya)",saltlander,negative
@titanium_2981 @hanumrais @asmanadia gw rasa film rafathar yg katanya kurang bagus aja bakal lbh bagus dari nih film 😂😂😂,ordinaryjenboy,positive
Jd check imdb gara2 @syfsyifa 😂😂 masa masih lebih bagusan film Rafathar yang ratingnya 1.4/10 wkwkw https://t.co/CjaDpwBmdw,Adistiy,positive
"Lagi ada pemutaran ulang film maha dahsyat abad ini ""RAFATHAR THE MOVIE"" aku nontonya mau nangis saking terkesannya sama film ini :(",badbois_,negative
@WatchmenID untuk rafathar aja dia berani keluar duit lumayan...siapa tau kalo emang ada yang punya ide cerita film yang beneran bagus dia mau modalin gede juga,bbwij,positive
"5 Adegan Keren Film Ini Tanpa CGI Loh, Hasilnya Rafathar Lewat Jauh Banget, Part 1 https://t.co/6s1K7dIH1e",denywibisono,positive
"Setelah melihat teaser #GundalaTheMovie yg keren abis, terbesit satu pertanyaan, KAPAN ADA CROSSOVER SAMA FILM RAFATHAR. #IndonesiaCinematicUniverseBukanCumaMimpi",Chugggggg,positive
Setelah sukses duet dengan Nino RAN. Ibu dari Rafathar dan Istri Raffi Ahmad mencoba peruntungan di kancah film Holywood.,franza__,positive
lg ntn film rafathar soalnya penasaran. knp critanya ga d buat kaya baby day out aja kayanya lbh seru wkwkw,crissabella8,positive
Harga tiket film-film bagus dan film-film lokal kagak jelas macam Gile Lu Ndro atau Rafathar gitu harusnya dibedakan. Yakali nonton Infinity War/Crazy Rich Asians sama harganya dengan nonton filmnya Raffi Ahmad.,aldhifeb,positive
"@gesgestay Mending pulang bg, seruan film rafathar dibanding ini.",dannyramram,positive
"@tubirfess Ngga ada film terburuk di kamus ku, tapi ada film yg bikin aku... ""ya Allah, sabar""

Rafathar, film ini tuh film yg editingnya pake CGI yg kita tau banyak dipake film - film Hollywood. Tapi, ketika liat film ini yg menurutku harusnya outputnya bagus malah yg kayak. . . mau nangis",sinematografis,positive
"@paradigmafilm Rafathar itu bisa jadi referensi film jelek, imho.",ADITYAALFARIZI,negative
"Ada Film RAFATHAR di RCTI, dan menurut Gw nih Film cukup Menghibur 😂 udah gitu doangg si #rafathar #filmrafathar #raffinagita #kocak",Cemungutrantyy,positive
Nonton film untuk dicaci itu boleh ga sih? Aku pengen nonton Rafathar.,yahyakanlah,positive
"@dwikikris lho Raffi sudah sukses memproduksi 3 film lho; #Rafathar, #TheSecret, n #DimsumMartabak, dg ratusan ribu pnonton!",yan_widjaya,positive
"@gokkeis Bagus dah, kapan rafathar bikin film lagi? Gsabar nie wkwk",Minanaknasi,positive
"Prediksi yg kurang baik ternyata menjadi kenyataan. Rata2 25K/hari sama seperti film Rafathar dulu. 
Gimana ini Mak @NKA_10 😅?? https://t.co/rCLfpwHm0J",Jhishu13,positive
"Apakah film martabak dimsum bakal menyusul film rafathar, sptnya sih iya. Jelek bangeeet",Vespamerah633DE,negative
"Setahu gw ya film RAFATHAR budgetnya juga sangat tinggi, Trailer nya dulu pun jutaan, tapi GAGAL TOTAL juga.

😁😁😁😁",Ajiepakubumi,negative
@ernestprakasa Film apaan itu? Bagusan juga Rafathar the movie 💥🔥,DoniDamanikk,positive
@WatchmenID Film Rafathar siapa aja ya yg bilang bagus😅,gituajaterus,positive
@InsyaAllahSah @anggy_umbara @pandji @ManojPunjabiMD @bontuit @HOOQ_ID @MD_Pictures @Rafathar_movie Selamat untuk md pictures film insya Allah 2 sah semoga sukses ya selamat untuk mas  anggur umbara semoga sukses dan menjadi lebih baik,DiahWah27661938,positive
"Perolehan penonton The Secret lebih bagus dri Rafathar, next film dimsum jg harus lbh bagus dri the secret, begitu jg seterusnya.
Grafiknya harus naik.",Jhishu13,positive
Film 212 the movie sama Rafathar bagusan mana gan?,ADITYAALFARIZI,positive
"wiro sableng keren emg sih di gandeng fox, ampe masuk deadpool 2 buat promosi krn 1 production house, tapi liat teasernya nape CGI ga blend ama film 😭 pdahal masuk most anticipated indonesian movie 2018

sedi aja gt, kalo cgi ga maksimal nanti jd kyk filmnya rafathar #ohno",arizaai,positive
"btw film superhero terbaik masih trilogy-nya batman sih. ga ada tandingan sejauh ini.

kecuali kalo film rafathar mau dibikin sekuelnya",nabavvi,positive
@jokoanwar Film paling bagus setau ane rafathar,rzlhmdfz,positive
@WatchmenID Gak masuk UGD kan? Nalarnya masih baik2 saja kan? Jangan sampe korban film Rafathar terulang. 😂,shidqiniam,positive
"Info Menarik Terbaru Tentang (Karena Rafathar, Nagita Slavina Seperti Merasa Terpaksa Main Film di PH Suami) - https://t.co/GlQh5A8XsP https://t.co/EORjQ5scwS",abumusa86,positive
@salmajefitra Kerenan mana sama film rafathar?,fancymelon,positive
Bismillah...Sukses utk PapaMamanya Aa Rafathar @RaffiAhmadLagi Smg film the secret nya Sukses banyak yg nonton dan berkah.. aamiin..🙏😇💑👦❤ #galapremierthesecret,septi_nu_ria,positive
Tedi &amp; Kanaya di kehidupan nyata @RaffiAhmadLagi PapaMamanya Si anak sholeh ganteng Aa Rafathar Malik Ahmad 💑👦❤❤❤ Smg film the secret nya Sukses banyak yg nonton dan berkah utk Ransfathar dan banyak orang... aamiin YRA 🙏 https://t.co/1ne8Knt02K,septi_nu_ria,positive
Jarang ada Production House Indonesia yg mau bikin film high budget begini. Karena masih banyak film tdk jelas yg kesannya instan tapi penontonnya ttp jutaan. Jadi ngapain susah2 bikin film bagus. Kecuali film Rafathar karena film Rafathar memang oke banget. 😂,ihsanfahmil,positive
@chiayewon Film paling bagus tuh cuma Rafathar,NNlNGIE,positive
"Demi Rafathar, Nagita Slavina Abaikan Tawaran Dari Luar dan Memilih Main Film yang… https://t.co/sJR5wyHKcb",mendaloNEWS,positive
"Rafathar udah cukup sukses sebagai film ""horor"" https://t.co/aWHEPaQAL5",The_Zhendi,positive
@mikhaella_tasya @AfifFuadS film segagal rafathar msh jauh lbh terhormat drpd film 212 sampah ini,ishiki_88,negative
@TolakBigotRI Film sampah masyarakat. Bahkan film Rafathar masih jauh lbh bagus drpd film ini,ishiki_88,positive
"Nemenin Raffi Ahmad Syuting Film, Begini Keseruan Nagita Slavina &amp; Aa Rafathar Di H Island! https://t.co/8uUgfF2uJq",tbggokil,positive
"Film Rafathar gak naik, akhirnya bikin film horror... Mantap Rafathar! https://t.co/sqnXE9Gb1T",sanjaiko,positive
"Dua kali nonton Film Dilan, masih sama rasanya kaya ........ Nonton Dilan gak berubah jadi rafathar kok. Keren",afifnurc,positive
New post (Cuplikan - Trailer Film RAFATHAR) has been published on Berita Menarik Terbaru - https://t.co/VmjJIm71wj https://t.co/oqmnpfCchq,moses_faris,positive
New post (Cuplikan - Trailer Film RAFATHAR) has been published on Berita Menarik Terbaru - https://t.co/VmjJIlPq7J https://t.co/0IrpEQng9Y,moses_faris,positive
Pengen nonton film rafathar,rennoabdi,positive
Posesif bahkan nggak lebih banyak dari Rafathar. Padahal film bagus 😢 https://t.co/EwAsJqgnia,ikephp,positive
@CenayangFilm yah..buruan nonton along with the gods deh mbah..lmyn worth ditonton..bnr2 roller coaster emotion..ane anggep ini malah kyk film religi hidayah tp pake culture korea :))) tp ada sedikit adegan2 actionnya + CGI yg jelas lebih bagus dari rafathar :))),bysrn25,positive
"@RaffiAhmadLagi Mudah2an sukses untuk film yg ini,untuk menebus film nya Rafathar yg kemarin,kurangin gosip deh insyaallah sukses ,jadi orang suka liatnya",Agoesmoelyadi11,positive
"@bicaraboxoffice #SiJukiTheMovie &amp; #SusahSinyalMovie, udah cukup bagus kok. #SiJukiTheMovie lebih baik ketimbang film Rafathar. #SusahSinyalMovie tembus 1,5jt itu udah hebat bat bat..",ronnycahyadi,positive
"Film Indonesia Terbaik 2017:
- Pengabdi Setan @jokoanwar 
- Marlina Si Pembunuh Dalam 
Empat Babak @cinesurya 

Film Indonesia Terburuk 2017:
- Ayat Ayat Cinta 2 @filmAAC2 
- Rafathar @Rafathar_movie",im_adriannoo,positive
"@hartartoaldrian Hehe aku si bukan penikmat film yg gmn kali ya bang, tapi mnrt ku keren. Lebih keren Rafathar lah sikit :))",ngapainmarah,positive
"Film terbaik nih animasinya nggak keliatan aku sampai terypu , ending nya pun nggak tertebak . Film laris pasti ini Rafathar 😂",herjunowidi,positive
"Film rafathar gak seru animasi nya kurang nyata, pasti yang dulu nonton di bioskop nyesel  deh pulangnya",DanaPranyoto,positive
