content,username,Sentiment
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"Rate buat film tulah 613, 7/10 sih.
Kurang paham alurnya bisa tetiba si Gilang metong, yg menarik cuma adegan cipokannya aja. Cinematographynya okee, pemainnya kurang kecuali yg meranin si putri",urcuteebf,negative
@emtubby tapi film horor yang lagi tayang tu si turah?tulah? itu ada lgtvnya,oaoapo,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"Sinopsis Tulah 613, Film Horor Thriller Indonesia di Bioskop https://t.co/dqMgMivINj",Duniaku_com,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
Tulah film horor tapi plot twist kocak bet,siiapaakuu_,positive
"Tulah 6/13.

Rate : 6,5/10

Sebenarnya seperti film horor pada umumnya, cuman emang agak speechless ajasih, filmnya berani ngambil unsur ""🌈"" dalam film horor lokal indo, walaupun emang udah banyak but ga dikasih sejelas itu, beberapa scene sama properti terlalu terlihat bohongan https://t.co/xH0js7P5Jo",Aksararev,positive
Tulah gajelas banged film nya 🤣,naufalng_,negative
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"TULAH FILM TER GAJELAS!!! NYESEL SE NYESEL NYESEL NYA NONTON ITU!!! PLOT NYA ANEH, ACTING MC NYA💀🙅🏻‍♀️ (masih bagusan acting second lead nya anjir) TRS BANYAK SCENE YG GA PENTING. Untung masih bisa ketelong sama plot twist nya👍🏻 overall 4/10",08GYOP,positive
"seumur hidup nonton bioskop baru kali ini nonton film judulnya tulah aneh banget, awal nya biasa tengahnya horor dikit, ending nya malah film gay anjgg",waduhgimanagan,positive
"Tulah 7/10
Kasih rating agak tinggi karna film dengan plot twist terlucu yg pernah ku tonton se2023 aowkwk BGT HAHA
Jujur horornya kurang pakek kali bahkan cerita awalnya ngebosenin kek apasi nii film,TAPI ENDINGNYA LUCU HAHA Ada cameo2 gak terduga, boleh la di tonton nambah list https://t.co/ev50Bh8rdl",yourrarah,positive
@pigsinasty @convomf Kalo aku nonton film tulah gajelas😄 https://t.co/QmRfTP14H3,nebulusventus,negative
"Film Tulah bagus ga sii
Asli penasaran gegara review nya orang orang",hartatahtamia,positive
"Tulah 613 atau The Pope's Exorcist?
Gue ga mau buang2 uang 30k karena film nya jelek pls:""",rizzbytj,negative
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"Film TULAH bagus ga ya?

Ada yang udah nonton?",Bramantoro,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"Kalau ngomongin horor, biasanya kan berkaitan ya dengan mitos dan kultur. Begitupun dengan film ini!
Film Tulah 6/13 mengangkat mitos yang tersebar di Indonesia dan Eropa, mengenai angka 6 dan 13 yang memiliki makna tersendiri.  

So gue rating untuk film ini 6/10!",ngobrolinastral,positive
"Review Film Tulah 6/13.
Film horor yang mengisahkan perjalanan lima anak muda. Sayangnya, perjalanan tersebut bukannya menyenangkan, tetapi justru menyeramkan! 

Yuk, langsung aja baca review-nya!

#ngobrolinastral #reviewfilm #filmtulah #Tulah613 #filmhoror https://t.co/M51vjfajDG",ngobrolinastral,positive
"Nonton film Tulah 6/13 berkat rekomen temen yg katanya w harus liat plot twist dari film ini. Dan yak, w bener2 terkejut sama endingnya😲😲😱😱
Film yg komplit karena ada unsur horror, thriller dan gore. Lumayan menghibur, ada bonus Bang @jefrinichol jadi cameo gaes🙌🍿📽😎 https://t.co/rJ7Vvjks2b",dedyrosadi4,positive
"Tulah 613 film apaan anjing, akting jelek, cerita gak jelas kaya anak sma lagi bikin film",trilov,negative
random nnton film horor tulah 6/13 tapi endingnya plot twist banget suer dah,dkhoirs,positive
Demi apapun film tulah 613 tuhh bagus bgtt apalagi plot twist nya parah bgtt,Iloveeehotmoms,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
film horor tulah ni bgus tdk y,synrenn,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"film tulah ini hantunya ga nyeremin, tp dari awal emg ud bebeledakan pokonya sadis, gabisa ditebak alurnya.
pemeran utamanya malah meninggal ngagetin bgt.
yg masi gangerti tuh di akhirnya, jd si kevin ini suka sama gilang gt maksudnya? what the 🥴

film tulah 613
rate: 8/10 ⭐✌🏻 https://t.co/2dkB8gs92Z",caesalpiniaaa,positive
"Rate film Indonesia 2023 so far :

Tulah 6/13 : 6/10
Waktu Maghrib : 7.5/10
Losmen Melati : 7/10
Para Betina Pengikut Iblis : 6/10

Diluar horror, Virgo dan Kembang Api bagus sih menurutku.
Virgo and Sparklings : 7.5/10
Kembang Api : 8/10

Sekian untuk review film indo kali ini~ https://t.co/7b1KwFNcg9",n0pallnim,positive
tulah film gajelas anjg,kqeparat,negative
BERITA TERPOPULER TRENDING TOPIC: Film Horor Tayang April 2023 hingga Cerita Mistis Erika Carlina Bintangi Tulah 6/13 https://t.co/XWDgASMLTk,Cerita_Parapuan,positive
"@moviemenfes Film aja ga ada yg seru akhir2 ini, tp ya aku bakal nntn tulah itu sih walau aku tau bakal kecewa wkwk😭",jaynhopess,negative
"Film tulah review ala ala ✌️

Dari segicerita agak bingung ini horor apa thriller krn ada unsur bunun membunuh dan unsur horor, tapi bunuh membunuh nya cuma halu aja si wkwk, sdkt membosankan dengan interaksi antar karakter yang seolah tanpa chemistry.

-c",aarrddyyee_95,positive
Film Tulah 613 bagus ga si?,djiwaruuuu,positive
film tulah 13 jelek banget,aliakbarfikri,negative
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"disuruh milih nonton dua film horor ini: waktu maghrib atau tulah 6/13, serem yang mana? https://t.co/GKKHQVyqks",DIMAZSAMID,positive
"Review Film Tulah 6 13 (2023), Berpotensi Dengan Eksekusi Yang Kurang Baik 

https://t.co/6YBozoo7cD",InfoFilmMovied1,positive
"Sejepretan.
Alias huhu:( kasian Kevin, tapi well shitt KEVINNN!?! ARGSHSH GILANGGG 🥺 Saarahhh🥺🫂
9/10 dari aku film Tulah 6/13
DAN OST NYAA BAGUS🥲 https://t.co/klhJKaSoy4",twentyfourcrazy,positive
"TULAH 6/13 (2023). Judulnya bisa saja 'Iblis Dalam Belahan Tetek Putri', tapi karena mau beda dipilihlah yang enggak biasa. Sayangnya, semangat mau beda tersebut dinodai oleh plot ngawur serta ceritanya yang hancur. Ini bukan film horor, ini film ""bencana"". #kripikripiu https://t.co/LpupfUXUBn",kripikfilm,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #beritafilm",KamusFilm,positive
"Jangan lewatkan kesempatan buat ajak teman kamu nonton film Tulah 6/13. Nikmati promo potongan 50% untuk pembelian 2 tiket nonton.

Cek syarat dan ketentuannya di aplikasi TIX ID 😉

#TIXID #HororIndonesia #Tulah613 #KeTulahBersama https://t.co/6E5MSZiH8b",tix_id,positive
"Film Tulah 6/13 rilis hari ini, Kamis tanggal 30 Maret 2023. 

Berdurasi 85 menit, film bergenre Psycho, Thriller dan horor ini  berkategori penonton dewasa (17+).

#FilmIndonesia 
#Kofindo https://t.co/rnh4G217zY",Kofindo,positive
"🅰🅺🅰🅽 🅳🅰🆃🅰🅽🅶
Film Tulah akan diputar Kamis besok (30/3) di bioskop. Genrenya masih horor.

#Kofindo",Kofindo,positive
"Tulah 6/13, film horor Indonesia berarti kemalangan yang disebabkan oleh kutuk, karena perbuatan yang kurang baik terhadap orang lain. https://t.co/lRecBiOGZV",ngopibareng_id,positive
"Sinopsis Tulah 6 13, Film Horor Indonesia Tayang Akhir Maret 2023 https://t.co/NrPGaERINm",matabangka,positive
"Sinopsis Film Tulah 6/13, Film Horor yang Segera Tayang di Bioskop https://t.co/Cy5tfeC9k4",Cerita_Parapuan,positive
"Film horror yang dibalut dengan cerita thriller ini bakal memberikan pengalaman menonton yang berbeda dari film horor biasanya!
-
-
Yuk saksikan Tulah 6/13, 30 Maret 2023, di bioskop kesayanganmu!
-",jabarekspres,positive
"Wow! Patut kita tunggu nih Teman Setia tayang perdana film Tulah 6/13 di bioskop pada tanggal 30 Maret 2023! 😍

Siapa nih yang pecinta jenis film horor? Kamu wajib nonton film ini ya! 

Nantikan video lengkapnya akan tayang sesaat lagi di https://t.co/DinwH1DgLM

#TSMedia #boho https://t.co/XA5KEwhOZ0",TSMedia_id,positive
Yuks Cek Berita Terbaru @indiekraf : Sinopsis Film Tulah 6/13 : Film Horor tentang Trauma dan Kutukan  https://t.co/trmYsD1HMA #Film #indiekraf #indonesia,indiekraf,positive
"Tulah 6/13 adalah film horor Indonesia yang dibintangi oleh Carissa Perusset hingga Erika Carlina.

https://t.co/llIYIzP8Au",tribunnewswiki,positive
"Kabar membanggakan datang dari industri perfilman tanah air, yakni film horor dengan genre psycho-thriller yang berjudul “Tulah 6/13” menjadi wakil Indonesia di ajang Swiss International Film Festival 2022.https://t.co/hMbbXMZDTB",LadiestoryID,positive
Fadi Iskandar mewujudkan impiannya untuk menjadi seorang produser film. Fadi pun memulai debut sebagai produser lewat film horor berjudul Tulah 6/13. https://t.co/KcpFowhCi0,1nserttranstv,positive
"“Tulah 6/13”, Film Hybrid Psycho Horor-Thriller https://t.co/UPgBXBogtd",wartabuanaid,positive
Film Horor Tulah 6 13 Wakili Indonesia di Swiss International Film Festival 2022 https://t.co/w1zffeeFdI,LiterasinewsPR,positive
Film Horor Tulah 6 13 Wakili Indonesia di Swiss International Film Festival 2022 https://t.co/w1zffeeFdI,LiterasinewsPR,positive
@amrufateh Tulah kuat nauw tgk film p*rn otak jadi benak. org buat selawat n munajat tu perkara biasa org kurang nak tgk. Yg ramai org nak tgk org gila meroyan muka tompok tak tahu malu baru kena pertuduhan dah lembik merengek2 tite kena uli.🤭🤭🤭 memalukan diri sendiri,Ahafizs1,negative
"Ada film horor apa lagi sih sepanjang tahun ini?
ni bocorannya ygy.
Mulai dari film yg bakal tayang minggu depan

1. Losmen Melatai the Movie
2. Iblis Dalam Darah
3. Hantu Baru
4. Jin Qorin
5. Tulah 6/13
6. Teman Tidur
7. Aku Tahu Kapan Kamu Mati Semester 2
8. Pelet Tali Pocong",shandygasella,positive
"Jadwal tayang film horor indonesia terbaru 👻

9 Maret : Perjanjian Gaib
16 Maret : Iblis dalam Darah
16 Maret : Losmen Melati
23 Maret : Hantu Baru
23 Maret : Jin Qorin
30 Maret : Teman Tidur
30 Maret : Tulah 6/13
6 April : Kutukan Cakar Monyet
6 April : Pelet Tali Pocong",Guys_Nonton_Yuk,positive
5 Fakta Film Tulah 6/13 Mistis dan Horor Membawa ke Swiss International Film Festival https://t.co/e4yfhgC6zr https://t.co/l6kxLcXQqQ,AkuOraUrusan,positive
"Sinopsis Tulah 6/13, Film Horor Indonesia Tentang Kutukan Masa Lalu Kakek Gowes, Dibintangi Erika Carlina https://t.co/ktwFYqWPQt",KabarBanten72,positive
5 Fakta Film Tulah 6/13 Mistis dan Horor Membawa ke Swiss International Film Festival https://t.co/1QOSkOpbPb https://t.co/6tU2QqP0LB,nadianakazawa,positive
"Film Tulah 6/13 Dibintangi Erika Carlina hingga Carissa Peruseet, Sajikan Horor Psycho Thriller 
#CelebritiesDotID #InfoCelebTerkini
#tulah
https://t.co/nnNHCtza2S",celebviral_,positive
"Tulah 6/13, Film Horor Kisah Teror Kakek Gowes https://t.co/6e4be8IOzo via @Sinar Berita",SkuRichard,positive
"Sebuah film dengan genre horror akan memberikan pengalaman baru bagi pecinta film Tanah Air.

Rumah produksi HERS Productions akan menyajikan Tulah 6/13 yang merupakan sebuah hybrid teen horror-thriller pada tahun 2023. 

#filmhoror #tulah6/13 

https://t.co/xQB3IgEtcS",disway_id,positive
"@ariasparrow 9 Maret: Perjanjian Gaib
16 Maret: Iblis dalam Darah
16 Maret: Losmen Melati
23 Maret: Hantu Baru
23 Maret: Jin Qorin
23 Maret: Tulah 6/13
30 Maret: Teman Tidur
6 April: Kutukan Cakar Monyet

Sampai tanggal tsb puji Tuhan kita ada 18 film horor dari 17 PH di 13 tanggal rilis🙏🏽",alexandermatius,positive
"'Tulah 6/13', Debut Fadi Iskandar Jadi Produser Film Horor https://t.co/y2ny28sRRu",1nserttranstv,positive
"Tambahan horor lokal (lagi) yang bakal tayang di bulan Maret. Oke, Halloween bisa dimajuin aja gak gaes?

9 - perjanjian gaib
16 - iblis dalam darah &amp; losmen melati
23 - hantu baru &amp; jin qorin
30 - teman tidur &amp; tulah 6/13

Ada 7 film horor!!! https://t.co/h8M2tEJHXo",cinecrib_,positive
"Film Horor yang nanti tanggal 30 maret 2023 tayang nih , Tulah 6/13 , katanya ada Erika Karlina , Mbak Er meranin Putri, yang pasti bukan Putri Candrawathi sih ya,... 
Ga sabar pengen nonton,... https://t.co/EPlAcbtgfQ",SejumlahKisah,positive
"@cinecrib_ Ada nama sutradara Chiska Dopert, dulu thn 2000an rajin bikin film,sering gonta ganti nama, siapa tau film Tulah kualitasnya bagus,dilihat posternya keren sich.....",FauzanP45974955,positive
"Tulah 6 13, Film Horor yang Menceritakan Kutukan Masa Lalu Segera Tayang, Catat Tanggalnya: Film Horor Tulah 6 13 akan meramaikan bioskop Indonesia mulai 30 maret 2023 bagi para pencinta film horor di Indonesia https://t.co/VbgPdLRjos",BisBanNews,positive
Film Horor TULAH 6 13 Sauntrack Magic Pacu Andrenalin https://t.co/WRkqeYhCtA,fahidayat72,positive
"Film Horor Psycho Tulah 6/13 Segera Tayang, Siap-siap Dihantui Teror 13 Juni, Catat Tanggal Tayangnya! https://t.co/0fzCNPmYNP",korangala,positive
"Selain 'ilmu', hadiah lain yang akan diturunkan adalah tulah.

ㅤㅤSuara cekikikan mirip wanita-wanita hantu di film horor Indonesia memberondong telingaku. Isi kupingku seperti mau keluar semua. Suara itu makin keras dan mengayun-ngayun di alat dengar. Aku was-was.",AxeIord,positive
"@recehtapisayng Tulah bopung. Pernah (bbrpa kali) kepala gua disodok2 kaki, udh diingetin malah ketawa2 gajelas. Pas udh nurunin kaki malah dorong2 kursi gua (ni sering), stress bopung gajee kalo ga ngerti film mending keluar aja, soalnya lu ganggu 🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼",sleepynau,negative
"Empat film horor berkualitas yang akan dipersembahkan MAXstream pada tahun depan, yaitu Perjanjian Ghaib, Tulah 6/13, Jin Qorin, dan Anak Titipan Setan. https://t.co/4WFVNkwAPO",KATADATAcoid,positive
"Terinspirasi dari kisah-kisah horor urban legend, penulis cerita film Tulah 613 Vidya Talisa bersama Hers Production menampilkan genre horor yang berbeda dari film hantu ... https://t.co/5m5rUYy7yI #timesindonesia #ketahananinformasi #indonesiabangkit",timescoid,positive
Dorang ni tak abis2 lagi kecoh pasal Mat Kilau. Tak penat ke gaduh. I kalau ikut zaman darah panas dulu memang semua I reply dengan fakta 'Kenapa Mat Kilau Bukan Film Yang Bagus'. Tapi tulah... sekarang jenis tak koser nak berdebat. Lantak ko lah labuuu~ tak dapat piala pun.,nrldaud,positive
"Seru dan Menegangkan! Film Horor Tulah 613 Hadir dengan Nuansa Berbeda: ​​​​​​​Film horor menjadi salah satu genre yang banyak diminati masyarakat Indonesia.  Cerita menyeramkan, sosok hantu yang menakutkan… https://t.co/2k1SkoPebR #beritabaik #timesindonesia #ketahananinformasi",timescoid,positive
"Seru dan Menyeramkan! Film Horor Tulah 613 Hadir dengan Nuansa Berbeda: ​​​​​​​Film horor menjadi salah satu genre yang banyak diminati masyarakat Indonesia.  Cerita menyeramkan, sosok hantu yang menakutkan… https://t.co/AvxFBL0sJ1 #beritabaik #timesindonesia #ketahananinformasi",timescoid,positive
Serem! Film Tulah 613 Akan Hadirkan Genre Horor Dengan Nuansa Baru https://t.co/OfQDpIysmN,jabarekspres,positive
Kira-kira film keramat 2 sama Tulah bagusan mana yaaa,namanyaBels,positive
film tulah 6/13 ini sepertinya bakal jadi film yg bagus deh… soalnya ada erica &amp; carissa. terus teasernya jg bagus. jadi semoga beneran bagus.,doregitcha,positive
Akibat ada tengok film horor. Jadi bawaannya horor aje 😅😅 tulah sebab tak suka nnton horor 🤣,jasmineee1297,positive
"So by the time she’s 7 dia boleh handle dreaming behaviour dia hoho. Nak dreaming ni bagus lah. Cikgu cakap boleh jd writer, film producer (ewah jd director mat kilau ke?) tp tulah sebab kita kena jugak prepare dia utk sistem pendidikan msia yg kejam ini 😭",symtwittt,positive
@convomfs Bioskop dkt rmh jarang ada yg bagus kecuali film yg keluar emg bnr2 ratenya bakal tinggi kayak Spiderman dan yg kemaren baru keluartu apaya nah tulah lupa judul😭,imznee,positive
Bila tengok drama or film or baca kisah yg sebiji dgn pengalaman sendiri tu mmg auto akan rasa marah dan sedih tapi tulah tetap juga suka tgk or baca kisah2 mcm tu.. ahahahaha,WatieJude,positive
Tapi tulah pemenang anugerah macam caca marba. Tak tau cmne cara pemilihan dia. Aku x rasa pengarah terbaik Kabir Bhatia layak menang tadi. Not his best film.,afnannaim,positive
Wah nak buat business film photography boleh. HHhahah. Aiyo tp tulah takde basic. Gambar pun biasa2 saje. Tapi suka. Hahaha,nashtotheri,positive
"Sebab tulah P Ramlee boleh buat filem Hang Tuah. In 2004, kita ada Puteri Gunung Ledang. Dua2 filem ni banyak beri sentimen buruk kepada Sultan Melaka waktu tu.

Kalau kesultanan Melaka masih wujud, both films will never existed.",fikrihariri,negative
"Ni malas layan Series/Film Kat TV ni.
Sound Dolby Digital Surround 5.1
(Action Scene Kuat, Dramatic Scene Slow)
Haih😭😭😭  aku suka sound mcm ni..
sbb x flac..dy surround sound..Tapi tulah...",ProphezyChannel,positive
@yyuli_uly Wkwkwk iya kan serem aja tapi ndak nyambung dan aku juga biasa aja nontonnya gak takut samse 😂 tulah gak suka film hantu,Selowomen,positive
@Mynameu12 yes atas masing ii jugak. ramai je puji 100 days tu best and drama/films lain yg dia berlakon best but tulah i yg problem kat sini sbb i tak minat cara lakonan dia. as u already know actors ni ada their own style of acting. even song hye kyo pun i tak suka cara lakonan dia 😅,latterv_,positive
Golongan artis yang acah kayangan ni tak pernah lah tak buat kontroversi sejak PKP Mac 2020. sebab tulah kadang karya² film tempatan or lagu tempatan kurang dapat sambutan disebabkan mentality artis Malaysia ni sendiri.,Cikfatimah,negative
iols suka film macam ni jugak tapi tulah pasalkan film macamni lah dak @_xdindx_ eeee ahh malas la taip 🙄😆,miamiamia____,positive
"@SimpleM81378523 msih penasaran ma bangsa yg plg tua peradabannya,,, ?? tulah knp gw lbih suka crita horor drpd film horor",Danzell50345471,positive
"Sampe aku bilang ke ibuk aku gini
Aku : buk kayaknya adek salah jurusanlah
Ibuk : ngapa gitu? Tulah bagus ambil biologi
Aku : bukan, keknya cocok perfilman soalnya hobinya nonton semua genre film cocok jadi penikmat film.
Ibuk : .... (langsung digeplak)

Hahaha",archillesawxy,positive
@luvingyeon Tapi tulah nasib baik barang dia tu tak menarik so xde tempted. yg curious ni trading card dgn film photo tu like akskdog,tbzbi,positive
@babolatey Tulah ak gasuka nonton film misteri,niaabcde,positive
@_amandaputrii Wkwk naah la tau kito ni penakut tapi tetep bae nak nonton film horor tulah,anggiandini,positive
"One thing aku teringin nak buat ialah pakai film slide untuk main light and shadow.

Dynamic range yang cuma kurang dari 5 stop konpom sedap die punya shadow dan highlight die mesti saturated dan ummpphhh.

Tapi tulah, kena pandai main spot meter, which, aku tak bape mahir.",ahnafwijaya_76,negative
@arifhaiqalAHJ Tapi tulah satu aku tak suka boss dia yang laki tu. Entah apa dia buat taktahu. Asyik meracun film je. Geram itee,IrfanDzahier,positive
"Memang kurang ngena kalo nonton film itu ga di kamar sambil rebahan 😅 
Tapi tulah kurangnya hp sendiri orang sendiri 😂🤣",whidya_29,negative
"@nazigorenng @501Awani Tulah pasal ada je film Malaysia yang bagus macam Bunohan, Kil, One Two Jaga, Terbaik dari Langit, Fly by Night tapi tulah sambutan suam suam kuku je 🙄",pilamlu,positive
teringin nak buat short film tapi tulah kurang ilmu,FaruqAzmnn,negative
@TadashiHamada56 Tulah.. Saya pun sedih takde GSC yang berdekatan.. Film bagus bagilah cinema banyak sikit.. @GSCinemas,Hxrithkml__,positive
"prof razak’s old films mmg serious memorable. most of his movies are my fav. bangga lagi yg prof sekarang ni ialah dekan untuk fac aku

tpi tulah, movie zaman skrg yg dia keluarkan tu aku kecewa hmmmmm",udonberdansa,negative
"gila kereennyaaa 
*tulah knp aku suka film Hollywood, risetnya itu loh",dewi_tetti,positive
