content,Sentiment
"11. Nadia Omara, suka sama cara dia cerita lucu gitu. 
12. Mencuri Raden Saleh, film indo yang sampe sekarang masih membekas betapa kerennya ntuh film. 
13. Bad Boy &amp; Nerd Girl, ceritanya bagus, tapi nih buku kemana ya 🥲
14. Legend 007
15. DRINK
16. Sft
17. Mahalini ini laguku",negative
"— , partner ngusilin chatra. 

11. Pict
12. Jarang nonton film sih, tapi mungkin mencuri raden saleh
13. Love Revolution  ♥
14. Sebenarnya banyak tapi SOONHOON JAYA JAYA JAYA!!! 
15. Semoga menjadi hari yang baik dan membuka awalan baru yang lebih bahagia. https://t.co/3rtGrXhHdT",positive
"@dynamyths Little Women udah? Kind of similar with the ones you mentioned, menurut gue. Kalau yang baru coba Mencuri Raden Saleh, atau Knives Out mungkin lo demen",positive
piko di mencuri raden saleh deserve better 🥺,positive
Baru sadar ternyata muhammad khan ini alumni sma ku dulu prnh ngisi webinar gt abis menang piala citra tp pas nonton mencuri raden saleh ga sadar kalo dia main baru ngeh skrg...,positive
"chicco kurniawan, ganindra bimo dan muhammad khan. ketambah the legend rio dewanto this is gonna be another masterpiece. mind you this also from sutradaranya mencuri raden saleh. fix sih ini dari sinematografi sama akting departemen dah secure bgt ✨🤌 https://t.co/U0n6Po1aed",positive
"LOOKS PROMISING, nanti liat trailer dulu kalau setipe mencuri raden saleh gue nonton 🧍",positive
"Setelah Mencuri Raden Saleh, berikutnya 13 Bom di Jakarta. 

Project terbaru Angga Sasongko ini akan katanya bakal jadi sebuah film action spionase. Patut ditunggu!

https://t.co/6g2sNu54Ql https://t.co/wSRRJL1JAX",positive
@kittiesfield Mencuri Raden Saleh! Apa kamu jadi Catheez aku jadi Livy? :3,positive
i miss mencuri raden saleh sm aaaa when will they release the sequel i need to see my gf sarah kicking some ass and ucup &amp; piko being a gay as usual 😭😭😭,positive
"Baru kelar nonton mencuri raden saleh. Gokil sih emang keren ni film, serasa nonton fast n furious vibes nya😅",positive
"this sets in the same universe as mencuri raden saleh 
rama and arman what are you doing 👁️👄👁️
(also poor arman. having to deal with bombs AND art heists? i will retire tbh)",negative
"oiya ges kalau ada yang bersedia buat diwawancara mengenai film Mencuri Raden Saleh do kindly DM me ya... butuh beberapa orang buat jadi narasumber skripsiku nih!

terima kasih ya ^___^",positive
"-mrs halo warga komplotan, sender minta tolong buat isi kuesioner skripsiku agar aku bs lulus nih. TENTU SAJA ada hadiah menarik buat para komplotan yang beruntung! linknya ada di poster yah dan QRT. have a great day nyets! https://t.co/g4UKFMOKra",positive
"@moviemenfes Mencuri Raden Saleh
Perfect Strangers
Cek Toko Sebelah
Penyalin Cahaya
Ali dan Ratu Ratu Queens",positive
Very late to the train tapi Mencuri Raden Saleh bagus BGT BGT BGTTTTT aktor aktris nya jg cakep2.... aku bi panic,negative
"7. favorite film: sebelum iblis menjemput 1&amp;2, pengabdi setan, evil dead rise, the conjuring (1,2,3), mencuri Raden saleh, dilan, etc.",negative
"@glycinerouge 8. Mencuri raden Saleh, ali ratu ratu queen, miracle in cell no 07, danur. (Ngga terlalu banyak lihat film 🤧) 
14. Bangga karena masih bernafas sampai sekarang 😎
18. Umm 12 jam? :D",positive
Telat bgt baru nonton mencuri raden saleh. Ok bgt sih🤌,positive
Mencuri Raden Saleh is top tier Indonesian movie in my book.,positive
Kharisma Kaur bisa main film Mencuri Raden Saleh. Itu karena ia aktif di medsos. https://t.co/rXH6wEJ5Qd,positive
"Random bgt kmren mimpi 1 meja makan ama vino ama bella 🤭 apa hrus nnton filmnya ya🧐🧐 

Lgi nnton film2 indo 
Aadc 1&amp;2
Aruna dan lidahnya
Petualangan sherina
Wiro sableng
Noktah merah perkawinan
Ngeri ngeri sedap
Mencuri raden saleh 

Apalagi yg bagus ya?",negative
"for my local (🇮🇩) friends, you can order these through shopee ya!!!

everything is READY STOCK except the notepads bc theyre still in production!

btw i have mencuri raden saleh merch as well 🫢
https://t.co/IfaABWcN5k",positive
"@WatchmenID Cute unicorn (?), ant-man, SpongeBob versi ayam, minuman nya alm. Mbah Maridjan, font (genshin impact?), Mencuri Raden Saleh poster, Loki poster with shame in you notes?",positive
"@bgctttt @WatchmenID Kupikir ini karakter market. Ga salah, tp writingnya jd tricky apalagi kalo tokohnya banyak

Kadang overeffort buat bikin plot &amp; karakter yg kompleks biar engaging from the first eps, alih2 push di salah satunya macam Mencuri Raden Saleh (plot) atau Suka Duka Berduka (karakter)",positive
@hakufoja Mental hospital sm mencuri raden saleh udah include 🙏,negative
"@kunikuzuzushi mencuri raden saleh, devilman crybaby, barbie live in the dreamhouse",positive
@moviemenfes ute si.. sm yg main di mencuri raden saleh tuh 1 lg yg jd pacarnya iqbal.. sisanya b aja si kwkwkwkw ga gimana gimana,positive
"ㅤ

3. Mencuri Raden Saleh

Menurut gue sangat jarang indo membawa tema film heist. Menurut gue film ini bagus buat di tonton. Selain visualnya oke, action dan komedinya juga dapet. Seru banget pokoknya. 

Ratenya 7.5/10

ㅤ",positive
@yhwwy0 i dah lama tak baca indo au sebab favorite author semua stop tulis dah 😔😔 AND I BACA OHMNANON AND CUPIKO from mencuri raden saleh jerps ... u mau ka,positive
@rentfess Rewatched Mencuri Raden Saleh a few days ago,negative
"Want to sell 양도 포가
•Price in idr
•Ship ww
•Clearance sell until 25.5.2023

Pentagon Shinwon Kino Jinho Hongseok
Astro Jinjin
aespa Ningning (39k) Karina(45k)
Umay mencuri raden saleh

Wts pc photocards 에스파 아스트로 펜타곤 lot daisy pob love or take lightstick mrs utbh https://t.co/FniHVoJ1Py",positive
"Want to sell 양도 포가
•Price in idr
•Ship ww
•Clearance sell until 25.5.2023

Pentagon Shinwon Kino Jinho Hongseok
Astro Jinjin
aespa Ningning (39k) Karina(50k)
Umay mencuri raden saleh

Wts pc photocards 에스파 아스트로 펜타곤 lot daisy pob love or take lightstick mrs utbh https://t.co/9AFwJ51PXN",positive
"꒰ wts / want to sell ꒱
Help rt please!

wts PC jaemin hello chilling, y global hot sauce holo work it, chenle the dream individu mumo hs, tuktuk xxi ver 3 ( mencuri raden Saleh) 

💰 : inc safe packing + admin 
🍊 :  freeong
📍: Palembang
#zonauangᅠᅠᅠ https://t.co/vAQKtrW8jZ",positive
"they look like a very unhinged newbie robber but acts like a mafia or something, mencuri raden saleh style",positive
"HELP RT!🎟️

Setelah sekian purnama Cine akhirnya rilis film spesial “Indonesian Movie Week” Mencuri Raden Saleh!🖼️ 
Tiket bisa dipesan pada:

📅 Senin, 22 Mei 2023
⏰ 19:30WIB
🏷️ Rp19.000 (recolor +1k)
🛎️ via DM

Scroll for more information! 
#zonauang #zonaba https://t.co/eYb9JlJAHy",positive
Baru aja selesai nonton film mencuri raden saleh. Damnnnn the  movie was so damn good. Recommended to watch!!!!!! 9/10.,positive
"꒰ wts / want to sell ꒱
Help rt please!

wts PC jaemin hello chilling, y global hot sauce holo work it, chenle the dream individu mumo hs, tuktuk xxi ver 3 ( mencuri raden Saleh) 

💰 : inc safe packing + admin 
🍊 :  freeong
📍: Palembang
#zonauangᅠ https://t.co/HKqFWVX9B2",positive
"Idk if it's because I haven't gone to movies at night for so long, last time was Mencuri Raden Saleh. But going to movies esp weekend, late night is sooo recommended! No traffic going back home, no need no make up cause none's there once you out lmao, can take nap during the day. https://t.co/z3XDhtRvwQ",positive
free is watching mencuri raden saleh 🤭🤭🤭🤭🤭,positive
"@moviemenfes mencuri raden saleh kayanya, udah lama bgt hahaha",positive
@moviemenfes Mencuri Raden Saleh tahun lalu wow,positive
"@convomf - mencuri raden saleh
- pengabdi setan 1,2
- nkcthi
- jujutsu kaisen (series)
- haikyuu (series)
- spy x family (series)
- murder on the orient express
- murder on the nile
- enola holmes 1,2
- school for good and evil
- interstellar
- a quite place 1,2
-  xo, kitty (series)",negative
"@OmHan_ Wkwkwkwk dari pada stress mending lo ikutan mencuri raden saleh, om :))",positive
@badminton__fess ayo mas angga sasongko stlah sukses dengan mencuri raden saleh tolong bikin rencana pembuatan mencuri pak sudirman:((,negative
"@tanyakanrl Always be my maybe
Bad genius
Ngeri"" sedap (missing home)
The call
Forgotten
Unlocked
Rumput tetangga
Mencuri raden saleh",negative
"@tanyakanrl the hitman's bodyguard
the mitchells vs the machines
murder mustery
mencuri raden saleh
knives out
the big 4 seru bgt
extreme job
the night comes from us
baby driver
baywatch",negative
@seirenedes jujur kyk mau main mencuri raden saleh 2,positive
"Iya aku baru tau istilah ""old school"" wkwkwkw lagi sering dipake ya.. 

Pertama denger di Mencuri Raden Saleh

Wkwkwkwk",positive
"KKN di desa penari, squid game, mencuri raden saleh, the glory, penthouse.",negative
"Bussiness proposal, squid game, mencuri raden saleh, dikta dan hukum, series/film apa pun dalam marvel universe.",negative
"mencuri raden saleh, evil dead rise",negative
happy birthday Piko at Mencuri Raden Saleh🤍🤝 #Amazeeng19 https://t.co/Kq2bzwsdzp,positive
"@tanyarlfes Marvel series, The world of marriage, squid game, replay 1988, duty after school, nevertless, wednesday, mencuri raden saleh.",negative
"@moviemenfes squid game, mencuri raden saleh, big mouse, vicenzo, itaewon class, film marvel

ga nonton karena bingung mau nonton yg mana dulu + netplik dah abis masanya😭😭😭😭",negative
@convomf mencuri raden saleh kalo nggak better days (INI SEDIH TAPI SERU),positive
@moviemenfes mencuri raden saleh :),positive
"@moviemenfes Terakhir Mencuri Raden Saleh, smenjak film bioskop cepet tayang di apk berbayar jd males nonton ke bioskop :)",positive
"the bad guys: the reign of chaos, the big 4, mencuri raden saleh",negative
@iqbaale give us both of the short and long sleeve version of dicuri mencuri raden saleh tshirt please,negative
"Mvs ONDE MANDEDari produser Mencuri Raden Saleh, Keluarga Cemara, Love For Sale, NKCTHI, Filosofi KopiMore Sumateran Movies? Yesss https://t.co/WNUtoSwuzZ",positive
"tp kalo mighty geraknya di seni musik, kalo komplotan di seni rupa😔✊✊✊

nanti klu mighty warriors judulnya bukan mencuri raden saleh, tapi mencuri duit p3jabat-🚶‍♂️🚶‍♂️🚶‍♂️🚶‍♂️🚶‍♂️🚶‍♂️",positive
@moviemenfes mencuri raden saleh hahaha,positive
"Merch Mencuri Raden Saleh🔥 [Exclusive Collectible Ticket CGV,Photocard] https://t.co/SeH4LrXcwU",negative
"ㅤ
ㅤ　`　‘ ✶　.  https://t.co/29semJ9jYJ⠀⠀⠀⠀   highkey wanna plot sampo executing a forgery heist at belobog's museum ( he watched the entirety of ' mencuri raden saleh ' and hasn't stop thinking about the main cast )
ㅤ",positive
"@woongkiboy aakuu jarang nonton pilem😭
1. the hunger game
2. dilan 1990
3. mencuri raden saleh
4. harry potter
5. alice in wonderland",negative
hah yg bner aje ni curiga bang young dae nnton mencuri raden saleh,positive
"@moviemenfes Mencuri Raden Saleh, first action movie punya Indo yang aku tonton dan gokil banget!
Kemaren baru nonton Noktah Merah Perkawinan, aku lebih fokus sama acting pemainnya luar biasa sih",positive
"@moviemenfes tenggelamnya kapal van der wijck, bumi manusia, mencuri raden saleh, 5cm, my idiot brother

gabisa kasih review intinya semuanya bagus, dan ga nyesel kalau ditonton",negative
"@moviemenfes My top 5:
1. Mencuri Raden Saleh
2. Negeri Van Oranye
3. Warisan
4. 3 Srikandi
5. Buya Hamka

Tbh sekarang film Indonesia tu bagus2 banget. Genrenya juga semakin beragam. Maju terus dunia film Indonesia",positive
"@moviemenfes Mencuri Raden Saleh

First, gw mau salut karena akhirnya aktor aktor muda Indonesia mendapat genre yang bukan romance. Dan kedua, cerita nya fresh bgt... not a superhero movie, but still have a good cliffhanger. Then, the visual too.",positive
"[HELP RT]
wts want to sell lfb looking for buyer pc photocard mencuri raden saleh aghniny haque ari irham umay shahab

pc sarah tuktuk gofar (with barcode) 20k/ea 
take all 50k

dom bekasi
co 🍊 gratong
keep event ✅
💵 exc. packing 
dm for more detail
kindly mention me after dm https://t.co/JpuvjPzjru",positive
"Pasti sebagian besar dari kalian udah nonton Mencuri Raden Saleh dan tau seberapa hype film itu kann. It’s worth the hype saat kalian tau breakdown dari film ini, apa lagi dengan genre heist yang terbilang jarang di Indonesia.",positive
"BLUEPRINT: The Making of Mencuri Raden Saleh bukan sekedar proses pembuatan film ataupun behind the scene, tapi ada curahan passion yang besar dalam setiap prosesnya https://t.co/nYEsRfoDEJ",negative
"Ucup, played by Angga Yunanda, is one of the key characters in the film Mencuri Raden Saleh. His skill to hack makes him the brain of the group since he uses his wits to create a false identity for the others in order to steal the Raden Saleh painting. https://t.co/3oVdbPNiIT",negative
"Overall, untuk film Blueprint: The Making of Mencuri Raden Saleh merupakan film yang pantas dan layak dibuat serta wajib banget buat ditonton!!!! 

Shoutout to all the crew and actors behind this amazing movie!!!",positive
wasnt really interested to watch mencuri raden saleh but the way ppl are agreeing that tuktuk is the human embodiment of my turn is making me curious https://t.co/ge6uTdfR9X,positive
"Blueprint: making of mencuri raden saleh membahas behind the scenes dari pembuatan film mencuri raden saleh. Dalam video ini menjelaskan tahap-tahap yang dilalui saat produksi film mencuri raden saleh dilakukan, mulai dari saat pra produksi, produksi, dan pasca produksi",negative
"anyway, can i get Mencuri Raden Saleh season 2 please? hehe :)

@hannakhum @VisinemaID",positive
"“Great Teams, Crews and Actors Makes Great Film”. That’s Mencuri Raden Saleh.

So, that’s it about my review for “The Blueprint: Making of Mencuri Raden Saleh” documentary film. If you haven’t watch it, i’m forcing you to watch now! Thank you &lt;3 https://t.co/hhS7SK8TUZ",positive
"andddd komitmen dari semua cast dan kru yang terlibat dalam pembuatan film Mencuri Raden Saleh bisa kita liat dari dokumenter ini, how passionate and details they are dari pre production sampe eksekusi nya. https://t.co/Sqxk8ntPeD",negative
just finished watching BLUEPRINT: MAKING OF MENCURI RADEN SALEH and i found out why this film deserves a huge recognition https://t.co/D8m8orzFcw,positive
"Barusan nonton Blueprint : the Making Of Mencuri Raden Saleh di channel youtubenya Visinema

Jadi ini tuh video dokumenter atau bisa dibilang BTS (behind the scene) dari film Mencuri Raden Saleh. Dan gw bkal review video ini

@HannahKum @VisinemaID",negative
"@moviemenfes end game, evil dead rise, doctor strange, pengabdi setan 2, mencuri raden saleh",negative
Baru sudah nonton Mencuri Raden Saleh gila si keren bgt! Very very cool.,positive
"rill tapi blueprint nya Mencuri Raden Saleh bikin gue pengen banget berkembang di dunia yang udah gue terjunin kecil ini. gue pengen bngt jd bagian dari karya karya keren Indonesia dan jadi bagian dari ""blueprint"" nya suatu karya keren kayak MRS ini. i knw gue bakal happy di sini",positive
"IN NO PARTICULAR ORDER KRN GW GABISA URUTIN

mencuri raden saleh, ocean’s 8, avatar, knives out, murder mystery",negative
"1. Semua film series Harry Potter
2. Maleficent
3. The Devine Fury
4. Extreme Job 
5. Mencuri Raden Saleh",negative
"fandom(s) my profile is dedicated to:

profile picture: mandalorian 
banner: bad buddy
display name: for all the dilfs out there ..
username: mencuri raden saleh
bio: all the fandoms im in 😭
pinned: star wars

qrt to continue",negative
"maze runner, the good dinosaur, little women 2019, anne with an e, umbrella academy, mencuri raden saleh, enola holmes, marvel movies",positive
"@tanyarlfes korea siapa ya hm??? member nct dream, pacarnya joy CRUSH, member btob, member svt
kalo western yg kembar tiga itu lupa namanya
kalo chinese circle yg pinter main game/aktor e-sport keren tuh 🤩
kalo indo bang vidi, keanu, bang fadil, circle nya mencuri raden saleh 🤩",positive
"(2023)
White Noise
Business Proposal
The School Nurse Files
Black Mirror: Bandersnatch
Belle
The Wonder
My Name is Vendeta
Free Guy
The Menu

Gone Girl
Mencuri Raden Saleh
(500) Days of Summer
The Guest
The King of Pigs
Birthcare Centre
Hellbound (S1)
6/45
Reborn Rich https://t.co/RdOm5mXFsa",positive
"@moviemenfes 1. The Greatest Showman
2. nutcracker i guess🤔
3. AVATAR
4. Yesterday
5. Me time
6. Mencuri raden saleh
7. Borat
8. Dune 
9. ridley scott
10. TLTOR
11. Dr James Moriarty of course
12. lalaland",positive
"minusnya boris, si tokoh utama, is depicted as bapak2 umur 50 taunan jd target pasarnya agak beda dari mencuri raden saleh. kayaknya tokoh teenager/young adult di ceritanya cuma 1 sih 😔",positive
"Indo Vers.

1. Kucumbu Tubuh Indahku
2. Pengabdi Setan 2 (Jap.)
3. The Big 4
4. Like &amp; Share 
5. Lovely Man, Soegija, 27 Steps of May
6. KKN, AADC 2
7. Moammar Emka's Jakarta Undercover
8. Marlina
9. Garin Nugroho
10. Laskar Pelangi
11. Rudy Wowor
12. 5 CM, Mencuri Raden Saleh",positive
"Ngeri-Ngeri Sedap (2022)
9.5/10 dari gua, suka banget gila 

Film ini langsung jadi top 1 film Indonesia favorit gua ngalahin Mencuri Raden Saleh. Cerita drama keluarga Indonesia berasa banget konfliknya kayak nguping tetangga ribut wkwkw. https://t.co/Y4ZTkNRzS7",positive
"JANTUNG GUE GA AMAN, abis nonton evil dead terus mencuri raden saleh, deg degan mulu",negative
okay... mencuri raden saleh bagus banget sejauh gue tonton...,positive
"@moviemenfes 1. An Elephant Sitting Still
2. The Killing of Sacred Deer
3. An Elephant Sitting Still, Love Exposure
4. Holy Spider
5. After Hours
6. The Greatest Showman, Mencuri Raden Saleh
7. Possession 1981
8. Stalker
9. Andrei Tarkovsky
10. The Human Condition
11. Vader
12. 21 Jump Street",positive
"@moviemenfes miracle in cell no.7, ngeri2 sedap, gara2 warisan, mencuri raden saleh, perfect strangers, ini indoo semua nder",positive
mencuri raden saleh is mid (plot wise) im watching this on netflix,positive
Gausah ribet-ribet mencuri lukisan raden saleh mending mencuri 2 grand piano Steinway &amp; Sons walaupun lebih gede kayaknya risknya lebih kecil #advice,positive
"Nama: dek cute
Usia: tahun ini 24
Jenis Kelamin: Perempuan
Domisili: kab tegal tapi skrg di rantauan 
Agama: islam
Status pekerjaan: admin
Tinggi badan: 150
Berat badan: 48
Hobi/minat: rebahan sama nonton film
Film favorit: mencuri raden saleh, dilan, banyak sih sebenernya",positive
"5. 𝟓 𝐟𝐚𝐯𝐨𝐫𝐢𝐭𝐞 𝐦𝐨𝐯𝐢𝐞 𝐚𝐧𝐝 𝐭𝐡𝐞 𝐫𝐞𝐚𝐬𝐨𝐧𝐬

bad genius, Harry Potter, the nutcracker and the rour realms, Home alone, mencuri raden saleh. 
suka banget sama plot nya, enteng tapi gak ngebosenin.",negative
"gue blm kelar nonton Mencuri Raden Saleh tapi gue udh bisa bilang kalo film ini emg worth the hype. 10/10 untuk plot, the actors, cinematics, all of them was COOL AS FUCK.",positive
"9,7/10
Mencuri Raden Saleh.

Baru nonton film ini setelah lama booming😅
Film Indonesia yang menurut excellent dan punya warna lain.
Raden Saleh sendiri memang tokoh sejarah fenomenal, tapi yang namanya tokoh sejarah pasti ada yang tidak kenal termasuk aku tadinya. https://t.co/4JVODdUZLQ",positive
"High and low ( semua film ) 
Mencuri Raden Saleh
Jujutsu Kaisen 0",positive
Telat bgt gua baru nonton mencuri Raden Saleh gila bagus banget:(,negative
"List film/series yg bakal aku rewatch sejuta kali:
-(anime) Gin no Saji
-(film) Tabula Rasa
-(film) Mencuri Raden Saleh
-(series) Extraordinary Attorney Woo
-(film) Heidi ver. 2015
-(series) Zetsumeshi Road
-(series) Alice in Borderland
-(anime) Kakegurui",negative
"the greatest showman
mencuri raden saleh
pengabdi setan 2",positive
"@moviemenfes RILLL PLS BANYAKIN FILM ACTION KAYAK MENCURI RADEN SALEH, THE BIG4, GUNDALA DLL",positive
"oh wait i was thinking hard about which indonesian film should i play for movie screening in leuven (for the workshop thingy) and i couldn't find anything else beside horror. now i just remembered this movie exists, sooo mencuri raden saleh it is😃👍",negative
!!!genuinely asking kenapa tbtb fansnya mencuri raden saleh in rush untuk beli pc ya mau ada event kah ???? https://t.co/kQjfZho9wo,positive
"mnurut klian slama nonton di bioskop, film apa yang paling top? kaya pas banget nonton itu di bioskop.
aku: Mencuri Raden Saleh
AKU BISA KASIH RATE 10/10 KARENA EMANG SERU POL, LUCU DAPET, SEDIH DAPET, DEGDEGAN NY JUGA DAPET, KAYA AKU MRASA BRUNTUNG NONTON IYI PAS DI BIOSKOP",positive
this is that random CGI scene in Mencuri Raden Saleh,negative
"Juga, mencuri raden saleh itu bisa bagus bgt karna acting dri actornya bener² totalitas. Iqbaal yang bener² menjiwai Piko, Angga sebagai Ucup, dan yang lainnya, yang mana mereka udh top tier young Indonesian actors, nambah budget lagi.
Story writing juga cukup lama.",positive
"Susah. Film horror itu penjualannya paling tinggi, pasarnya udah ada, Di tahap produksi pun formulanya udh banyak. Budget ga terlalu banyak. Angga Sasongko itu spent more than 20 Billion rupiah for Mencuri Raden Saleh. Meanwhile KKN di desa penari spent ±15Bilion",positive
@moviemenfes Hahaha banyakin film kaya mencuri raden saleh hahahaha,positive
"@moviemenfes pls iya anjr, FILM KAYAAA MENCURI RADEN SALEH ITU KEREN BANGET XKJSKSKSLSL dia bener bener keluar dari zona nyaman dan BERHASIL!?!?!? stop buat film horror and film cinta cintaan yang selalu ngehubungin sama agama :))",positive
mencuri raden saleh tuh selain filmnya emang seru terus hawa fangirling/fanboyingnya juga seru bgt kayak ada au  ada stan twt dkk (GMN YA JELASINHYA) secara natural narik penonton juga kayak a fresh experience aja yg mnrt gw,positive
jujur mencuri raden saleh juga kalo castnya bukan iqbal dll gak laku let’s be honest here karna udah banyak film indo kayak mrs tapi ya gitu,positive
"@moviemenfes ""Kalo kata gue sih mending indo banyakin film kaya mencuri raden saleh""

Fixed",positive
mencuri raden saleh itu salah satu film worth to watch banget sumpah,positive
"@hmtly yang lagi on going ""the good bad mother"" sama ada satu film indo fav aku ""mencuri raden saleh""",positive
"@moviemenfes nih nder film indonesia non horror favorite gue 
1. mencuri raden saleh
2. the big 4 (action)
3. ngeri ngeri sedap (comedy)
4. teka teki tika (mystery) 
5. headshot (action) 
6. hangout (comedy tp agak thriller) 
7. bebas",positive
@Bambangmulyonoo Kalo gak salah bliaw main di film Mencuri Lukisan Raden Saleh,positive
"baru pulang  belajar (*main) 
gpp, hari ini healing duluu. habis nonton Ratu Ilmu Hitam, Mencuri Raden Saleh. Keramat 2 mweheheeh 😇😇",positive
